target_context_tokens,placement,condition,sample_count,final_only_candidate_accuracy,prediction_roles
0,middle,clean,16,1,"{""gold_final"": 16}"
0,middle,competitor2,16,1,"{""gold_final"": 16}"
0,middle,conflict1,16,0.8125,"{""conflict_final"": 3, ""gold_final"": 13}"
0,middle,high4,16,0.5,"{""gold_final"": 8, ""high_distractor_0"": 3, ""high_distractor_1"": 3, ""high_distractor_2"": 2}"
0,middle,low16,16,1,"{""gold_final"": 16}"
0,middle,mixed,16,0.8125,"{""gold_final"": 13, ""high_distractor_3"": 3}"
1024,middle,clean,16,1,"{""gold_final"": 16}"
1024,middle,competitor2,16,0.9375,"{""competitor_final_1"": 1, ""gold_final"": 15}"
1024,middle,conflict1,16,0.3125,"{""conflict_final"": 11, ""gold_final"": 5}"
1024,middle,high4,16,0.5,"{""gold_final"": 8, ""high_distractor_0"": 3, ""high_distractor_1"": 1, ""high_distractor_2"": 3, ""high_distractor_3"": 1}"
1024,middle,low16,16,0.9375,"{""gold_final"": 15, ""high_distractor_1"": 1}"
1024,middle,mixed,16,0.8125,"{""gold_final"": 13, ""high_distractor_0"": 2, ""high_distractor_1"": 1}"
8192,middle,clean,16,0.9375,"{""gold_final"": 15, ""high_distractor_1"": 1}"
8192,middle,competitor2,16,1,"{""gold_final"": 16}"
8192,middle,conflict1,16,0.9375,"{""conflict_final"": 1, ""gold_final"": 15}"
8192,middle,high4,16,0.1875,"{""gold_final"": 3, ""high_distractor_1"": 1, ""high_distractor_2"": 8, ""high_distractor_3"": 4}"
8192,middle,low16,16,1,"{""gold_final"": 16}"
8192,middle,mixed,16,0.3125,"{""conflict_final"": 1, ""gold_final"": 5, ""high_distractor_0"": 4, ""high_distractor_1"": 1, ""high_distractor_2"": 3, ""high_distractor_3"": 2}"
32768,middle,clean,16,1,"{""gold_final"": 16}"
32768,middle,competitor2,16,1,"{""gold_final"": 16}"
32768,middle,conflict1,16,0.9375,"{""conflict_final"": 1, ""gold_final"": 15}"
32768,middle,high4,16,0.3125,"{""gold_final"": 5, ""high_distractor_0"": 1, ""high_distractor_1"": 1, ""high_distractor_2"": 8, ""high_distractor_3"": 1}"
32768,middle,low16,16,1,"{""gold_final"": 16}"
32768,middle,mixed,16,0.625,"{""gold_final"": 10, ""high_distractor_0"": 2, ""high_distractor_1"": 2, ""high_distractor_2"": 2}"
64000,middle,clean,16,0.9375,"{""gold_final"": 15, ""high_distractor_1"": 1}"
64000,middle,competitor2,16,1,"{""gold_final"": 16}"
64000,middle,conflict1,16,1,"{""gold_final"": 16}"
64000,middle,high4,16,0.1875,"{""gold_final"": 3, ""high_distractor_0"": 3, ""high_distractor_2"": 9, ""high_distractor_3"": 1}"
64000,middle,low16,16,1,"{""gold_final"": 16}"
64000,middle,mixed,16,0.3125,"{""gold_final"": 5, ""high_distractor_0"": 1, ""high_distractor_2"": 9, ""high_distractor_3"": 1}"
