task,base_task,requested_length,sample_id,method,executed_path,configured_sampled_quantile_sample_count,configured_index_bits_per_token,index_build_seconds,qk_prebuild_seconds,qk_prebuild_layers,qk_batched_allocation_layers,packed_qmse_sample_count,packed_qmse_value_sketch_rank,packed_qmse_value_sketch_bits,packed_qmse_value_sketch_executed,packed_qmse_value_sketch_tail_alpha,packed_qmse_debug_value_sketch_disabled,sampled_candidate_overflow_fraction,sampled_quantile_fallback,metric,score,prediction,answers,prompt_tokens,prefix_tokens,suffix_tokens,generated_tokens,configured_attention_fraction,configured_attention_tokens,configured_candidate_fraction,configured_projection_dim,configured_score_mode,attention_link_ratio,exact_qk_ratio,estimated_retained_mass,temporal_reuse_rate,gpu_kv_storage_ratio,scan_dimension_fraction,diagnostics_enabled,prefill_seconds,query_seconds,decode_seconds,online_seconds,total_seconds
qa_hotpot_131072,qa_hotpot,131072,qa_hotpot_131072_4,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,0.0,New York City,"[""Greenwich Village, New York City""]",129873,129844,29,3,1.0,129844,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,194.97785325627774,0.5851143328472972,1.0137721039354801,1.5988864367827773,196.57673969306052
qa_hotpot_131072,qa_hotpot,131072,qa_hotpot_131072_4,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.3410210548900068,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,0.0,New York City,"[""Greenwich Village, New York City""]",129873,129844,29,3,0.009857983426265364,1280,0.009857983426265364,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.009493243110469892,0.0,0.0,0.0,1.0,0.0,True,195.82633538823575,0.9164322428405285,1.1816558130085468,2.0980880558490753,197.92442344408482
qa_hotpot_131072,qa_hotpot,131072,qa_hotpot_131072_2,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,1.0,Animorphs,"[""Animorphs""]",124793,124754,39,3,1.0,124754,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,181.59302894491702,0.578182531055063,0.9553740536794066,1.5335565847344697,183.1265855296515
qa_hotpot_131072,qa_hotpot,131072,qa_hotpot_131072_2,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6400,306.0,0.0,0.17064166814088821,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,1.0,Animorphs,"[""Animorphs""]",124793,124754,39,3,0.010260192057970085,1280,0.010260192057970085,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.00975516766214054,0.0,0.0,0.0,1.0,0.0,True,181.91465587401763,0.7477574651129544,1.0863326592370868,1.8340901243500412,183.74874599836767
qa_hotpot_131072,qa_hotpot,131072,qa_hotpot_131072_0,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,0.0,No,"[""yes""]",128469,128447,22,1,1.0,128447,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,191.5204590749927,0.5743629061616957,0.3277617013081908,0.9021246074698865,192.42258368246257
qa_hotpot_131072,qa_hotpot,131072,qa_hotpot_131072_0,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,6656,306.0,0.0,0.169363000895828,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,0.0,No,"[""yes""]",128469,128447,22,1,0.009965199654332136,1280,0.009965199654332136,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.010277725681876562,0.0,0.0,0.0,1.0,0.0,True,191.48693161690608,0.7393313059583306,0.9068529680371284,1.646184273995459,193.13311589090154
qa_hotpot_65536,qa_hotpot,65536,qa_hotpot_65536_3,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,1.0,No,"[""no""]",62730,62703,27,1,1.0,62703,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,54.858992791268975,0.2879922338761389,0.1718310732394457,0.4598233071155846,55.31881609838456
qa_hotpot_65536,qa_hotpot,65536,qa_hotpot_65536_3,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.15821631206199527,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,1.0,No,"[""no""]",62730,62703,27,1,0.020413696314370924,1280,0.020413696314370924,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.019419909732185558,0.0,0.0,0.0,1.0,0.0,True,54.93982065934688,0.4457673099823296,0.6663368809968233,1.112104190979153,56.05192485032603
qa_hotpot_65536,qa_hotpot,65536,qa_hotpot_65536_1,full_kv,full_kv,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ruler_string_match_part,0.0,There is no information in the provided documents about the government position held by the woman who portrayed Corliss Archer in the film Kiss and Tell.,"[""Chief of Protocol""]",63645,63614,31,29,1.0,63614,1.0,0,full_kv,1.0,1.0,1.0,0.0,1.0,1.0,True,56.54214740218595,0.2969552939757705,5.081315583083779,5.378270877059549,61.920418279245496
qa_hotpot_65536,qa_hotpot,65536,qa_hotpot_65536_1,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,qksieve_qmse_oas_requestlocal_valuesketch16_sorted_c64,3328,306.0,0.0,0.1595936380326748,32,32,512.0,16.0,4.0,1.0,0.5,0.0,0.0,0.0,ruler_string_match_part,0.0,There is no information in the provided documents about the government position held by the woman who portrayed Corliss Archer in the film Kiss and Tell.,"[""Chief of Protocol""]",63645,63614,31,29,0.02012135693400824,1280,0.02012135693400824,128,pca_hierarchical_autoqmsetotal15z_qkmetric_qfused_gqa4_wmma_kappend_valuesketch16i4shared_wometric_sortcompact_unbiased_packed_direct_oas,0.01915952791266343,0.0,0.0,0.0,1.0,0.0,True,56.73554277000949,0.4571905951015651,2.5617179768159986,3.0189085719175637,59.75445134192705
