target_context_tokens,placement,condition,query_mode,sample_count,strict_accuracy,input_excluded_accuracy,mean_gold_nll,mean_margin,prediction_roles
0,middle,clean,hop1,16,1.0,1.0,1.4143768956416483,0.3871360704563682,"{""gold_intermediate"": 16}"
0,middle,clean,oracle_hop2,16,1.0,1.0,1.58161044603295,0.16779948192710692,"{""gold_final"": 16}"
0,middle,competitor2,hop1,16,1.0,1.0,1.3998694697730312,0.27834581131622016,"{""gold_intermediate"": 16}"
0,middle,competitor2,oracle_hop2,16,0.9375,1.0,1.5809162962349157,0.05580510427327162,"{""gold_final"": 15, ""gold_intermediate"": 1}"
0,middle,conflict1,hop1,16,0.0,0.0,1.4525112419660866,-0.13958610090704887,"{""conflict_intermediate"": 16}"
0,middle,conflict1,oracle_hop2,16,0.5,0.5,1.5016584679502298,0.07259931507360305,"{""conflict_intermediate"": 8, ""gold_final"": 8}"
0,middle,high4,hop1,16,1.0,1.0,1.3618945185228637,0.35968659661973235,"{""gold_intermediate"": 16}"
0,middle,high4,oracle_hop2,16,0.75,0.75,1.5622735948848328,0.12564631231245063,"{""gold_final"": 12, ""gold_intermediate"": 1, ""high_distractor_0"": 1, ""high_distractor_1"": 2}"
0,middle,low16,hop1,16,1.0,1.0,1.2774919748996711,0.5740809047161488,"{""gold_intermediate"": 16}"
0,middle,low16,oracle_hop2,16,0.6875,1.0,1.5645840005055496,0.09500165645386005,"{""gold_final"": 11, ""gold_intermediate"": 5}"
0,middle,mixed,hop1,16,0.3125,0.3125,1.4299604654826388,-0.08345598008093344,"{""conflict_intermediate"": 11, ""gold_intermediate"": 5}"
0,middle,mixed,oracle_hop2,16,0.6875,0.9375,1.5249519546884716,0.10869395362793252,"{""gold_final"": 11, ""gold_intermediate"": 4, ""high_distractor_1"": 1}"
1024,middle,clean,hop1,16,1.0,1.0,1.0633488735464718,0.6863860183449495,"{""gold_intermediate"": 16}"
1024,middle,clean,oracle_hop2,16,0.875,1.0,1.2200756735087452,0.12915758630924762,"{""gold_final"": 14, ""gold_intermediate"": 2}"
1024,middle,competitor2,hop1,16,1.0,1.0,1.1214207774667426,0.4777345633758939,"{""gold_intermediate"": 16}"
1024,middle,competitor2,oracle_hop2,16,0.9375,1.0,1.218789973282193,0.1194045557297483,"{""gold_final"": 15, ""gold_intermediate"": 1}"
1024,middle,conflict1,hop1,16,0.0,0.0,1.2122050319202182,-0.1847198277441099,"{""conflict_intermediate"": 16}"
1024,middle,conflict1,oracle_hop2,16,0.9375,1.0,1.202182128583315,0.12818476062070006,"{""gold_final"": 15, ""gold_intermediate"": 1}"
1024,middle,high4,hop1,16,0.875,0.875,1.094593537419444,0.31759134602829625,"{""gold_intermediate"": 14, ""high_distractor_0"": 2}"
