target_context_tokens,placement,condition,sample_count,generation_final_accuracy,generation_final_sem,generation_contains_gold_rate,strict_candidate_accuracy,start_excluded_candidate_accuracy,mean_gold_nll,mean_gold_ppl,mean_candidate_margin,mean_candidate_entropy,prediction_roles
0,middle,clean,16,0.0,0.0,1.0,0.0,1.0,1.8338700746062224,6.283666963857532,-0.8613847439883088,1.712154152071478,"{""gold_start"": 16}"
0,middle,competitor2,16,0.1875,0.09757809372497497,0.75,0.0,0.9375,1.769382751721545,5.925965061205807,-0.7555404381329655,1.9687003531180352,"{""gold_start"": 16}"
0,middle,conflict1,16,0.0,0.0,0.0625,0.0,0.0625,1.8426106140489529,6.334923589463521,-0.7198482473857211,1.9821587597481471,"{""gold_start"": 16}"
0,middle,high4,16,0.1875,0.09757809372497497,0.3125,0.0,0.3125,1.7838150785764486,5.988488612009743,-0.7631184339160281,2.013895559292109,"{""gold_start"": 16}"
0,middle,low16,16,0.0,0.0,0.1875,0.0,0.75,1.619108653120455,5.06618011391338,-0.5278737455460478,1.841296488554154,"{""gold_start"": 16}"
0,middle,mixed,16,0.0,0.0,0.4375,0.0,0.375,1.750959708213551,5.796033367509655,-0.7947844959810157,2.32734729450873,"{""gold_start"": 16}"
1024,middle,clean,16,0.0,0.0,0.0625,0.0,0.25,1.9266423340779641,6.907490869516838,-0.6997699131623156,1.8426876469139353,"{""gold_start"": 16}"
1024,middle,competitor2,16,0.0,0.0,0.0,0.0,0.4375,1.6600515141199788,5.286758533161203,-0.5099421771766807,2.069351960887989,"{""gold_start"": 16}"
1024,middle,conflict1,16,0.0,0.0,0.0,0.0,0.0,1.7838948675830417,5.971259794997925,-0.5086072037597416,2.0512535206052402,"{""conflict_intermediate"": 5, ""gold_start"": 11}"
1024,middle,high4,16,0.0,0.0,0.0,0.0,0.25,1.911524590552582,6.810218152166648,-0.7142431722205304,2.030848585012423,"{""gold_start"": 16}"
1024,middle,low16,16,0.0,0.0,0.0,0.0,0.25,1.8027179553430739,6.084143402005992,-0.4459097791994801,1.9668851040312991,"{""gold_start"": 16}"
1024,middle,mixed,16,0.0,0.0,0.0,0.0,0.25,1.5879164222443316,4.915977552396541,-0.5626131780923467,2.349940654377203,"{""gold_start"": 16}"
8192,middle,clean,16,0.0,0.0,0.0,0.0,0.0625,2.0181037646608013,7.564079290943518,-0.7664851195142676,1.8669901329053857,"{""gold_start"": 16}"
8192,middle,competitor2,16,0.0,0.0,0.0,0.0,0.0625,1.6145752732388376,5.050323225192892,-0.5113908144423606,2.098522825862976,"{""gold_start"": 16}"
8192,middle,conflict1,16,0.0,0.0,0.0,0.0,0.0,1.6761609885232767,5.361797162335544,-0.3208032583055943,2.1100540431887103,"{""gold_intermediate"": 2, ""gold_start"": 14}"
8192,middle,high4,16,0.0,0.0,0.0,0.0,0.0,1.7563454502483182,5.796718095608858,-0.5055959542767466,2.0844469381258186,"{""gold_intermediate"": 1, ""gold_start"": 15}"
8192,middle,low16,16,0.0,0.0,0.0,0.0,0.0,1.5662707239615494,4.79508374578034,-0.29044184897975356,2.0229382130921367,"{""gold_intermediate"": 1, ""gold_start"": 15}"
8192,middle,mixed,16,0.0,0.0,0.0,0.0,0.0,1.5098199351926138,4.544081414550113,-0.46230763911216854,2.382462740796504,"{""gold_start"": 16}"
32768,middle,clean,16,0.0625,0.06051536478449089,0.125,0.0,0.0625,2.0760593101495033,7.989181130330539,-1.032520344047173,1.8120326783457608,"{""gold_start"": 16}"
32768,middle,competitor2,16,0.0,0.0,0.0,0.0,0.0,1.9446722536321042,7.038191571906822,-0.7255170886749381,2.0971499491715435,"{""gold_start"": 16}"
32768,middle,conflict1,16,0.0,0.0,0.0,0.0,0.0,1.7972353337493456,6.064579738321821,-0.5258701549655598,2.1093957616511814,"{""gold_intermediate"": 1, ""gold_start"": 15}"
32768,middle,high4,16,0.0,0.0,0.0,0.0,0.0625,1.8134277567760364,6.159626789075277,-0.6598683505949989,2.090162304424758,"{""gold_start"": 16}"
32768,middle,low16,16,0.0,0.0,0.0,0.0,0.0,1.6846811351767559,5.398776590567412,-0.41830714423537885,2.035893254551385,"{""gold_start"": 16}"
32768,middle,mixed,16,0.0,0.0,0.0,0.0,0.0,1.6011842661811377,4.990459998726259,-0.4150769807309709,2.382217151383212,"{""gold_intermediate"": 2, ""gold_start"": 14}"
64000,middle,clean,16,0.0,0.0,0.0625,0.0,0.0,2.222650254385891,9.27558831558133,-1.2640678942266925,1.7449568142293541,"{""gold_start"": 16}"
64000,middle,competitor2,16,0.0,0.0,0.0,0.0,0.0,2.0513584352806253,7.886886882829673,-0.8890184694189104,2.077164442199273,"{""gold_start"": 16}"
64000,middle,conflict1,16,0.0,0.0,0.0,0.0,0.0,1.8143953003002804,6.206601432652165,-0.6826877341861421,2.0982538730087876,"{""gold_intermediate"": 2, ""gold_start"": 14}"
64000,middle,high4,16,0.0,0.0,0.0,0.0,0.0,1.8224466749956523,6.255107903584446,-0.5678508351725863,2.0973703351230926,"{""gold_intermediate"": 4, ""gold_start"": 12}"
64000,middle,low16,16,0.0,0.0,0.0,0.0,0.0,1.6951548783430812,5.456863329970213,-0.4970491896788839,2.0509686609220275,"{""gold_start"": 16}"
64000,middle,mixed,16,0.0,0.0,0.0,0.0,0.0,1.79723272044248,6.1871904142305265,-0.5878423424884593,2.365252140805423,"{""gold_intermediate"": 8, ""gold_start"": 7, ""high_distractor_2"": 1}"
